feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_level,fragments_ms2_spectrum_level,datafile:neg_hela_LG1.mzML:area,datafile:neg_hela_LG5.mzML:area,datafile:neg_hela_HG3.mzML:area,datafile:neg_hela_HG6.mzML:area,datafile:neg_hela_LG2.mzML:area,datafile:neg_hela_LG3.mzML:area,datafile:neg_hela_LG6.mzML:area,datafile:neg_hela_S4.mzML:area,datafile:neg_hela_LG4.mzML:area,datafile:neg_hela_HG1.mzML:area,datafile:neg_hela_HG5.mzML:area,datafile:neg_hela_HG2.mzML:area,datafile:neg_hela_S2.mzML:area,datafile:neg_hela_S1.mzML:area,datafile:neg_hela_HG4.mzML:area,datafile:neg_hela_S3.mzML:area,datafile:neg_hela_S6.mzML:area,datafile:neg_hela_S5.mzML:area
1416,2.715,524.27758,524.27826,1.297021166016219,C27H44NO7P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 22:6,"LPE 22:6(4,7,10,13,16,19)",0.4816666666666669,0.540661666666684,0.21844544839637262,0.24771732022340295,Some,Some,0.0,0.0,,0.0,0.0,0.0,0.0,12900.0,0.0,0.0,0.0,3630.0,20600.0,6070.0,0.0,20500.0,0.0,0.0
1517,3.508,478.29347,478.29391,0.9199364465442007,C23H46NO7P,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:1,LPE 18:1(9),0.6660000000000004,0.9025300000000698,0.0,0.07842650000000348,Some,None,,,,,,,,,,,,,,0.0,,9580.0,,
1517,3.508,478.29347,478.29391,0.9199364465442007,C23H46NO7P,CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:1,LPE 18:1(11),0.013999999999999346,0.9745100000000093,0.0,0.04942550000000042,Some,None,,,,,,,,,,,,,,0.0,,0.0,,
1555,3.652,478.29343,478.29391,1.0035670326260862,C23H46NO7P,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:1,LPE 18:1(9),0.9540000000000006,0.9024900000000571,0.0,0.09282450000000286,Some,None,,,0.0,,,,,,,,,,,0.0,,42000.0,,
1555,3.652,478.29343,478.29391,1.0035670326260862,C23H46NO7P,CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:1,LPE 18:1(11),0.3019999999999996,0.9744699999999966,0.0,0.0638234999999998,Some,None,,,36800.0,,,,,,,,,,,0.0,,0.0,,
1555,3.652,478.29343,478.29391,1.0035670326260862,C23H46NO7P,CCCCCCCCCCCC=CCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:1,LPE 18:1(6),0.22799999999999976,0.8278800000000501,0.0,0.052794000000002485,Some,None,,,0.0,,,,,,,,,,,46300.0,,0.0,,
1595,3.799,478.2933,478.29391,1.2753664373327906,C23H46NO7P,CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:1,LPE 18:1(11),0.1819999999999995,0.9810500000000388,0.49160514432112745,0.5005971298890166,Some,Some,0.0,,0.0,,,0.0,,,,0.0,,0.0,,0.0,,,,0.0
1595,3.799,478.2933,478.29391,1.2753664373327906,C23H46NO7P,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:1,LPE 18:1(9),0.36499999999999977,0.9430200000000184,0.0,0.06540100000000089,All,None,0.0,,0.0,,,0.0,,,,0.0,,0.0,,0.0,,,,0.0
1595,3.799,478.2933,478.29391,1.2753664373327906,C23H46NO7P,CCCCCCCCCCCC=CCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:1,LPE 18:1(6),0.3689999999999998,0.4682250000000181,0.0,0.04186125000000088,All,None,31700.0,,0.0,,,0.0,,,,0.0,,0.0,,0.0,,,,0.0
1966,4.351,506.32458,506.32521,1.2442595935545429,C25H50NO7P,CCCCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 20:1,LPE 20:1(11),0.827,0.5046199999999885,0.2854081491905481,0.32344833427149267,All,Some,,,0.0,,,,,0.0,,0.0,,0.0,1170.7386363636365,0.0,0.0,0.0,0.0,0.0
