feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_level,fragments_ms2_spectrum_level,datafile:pos_hela_LG5.mzML:area,datafile:pos_hela_LG2.mzML:area,datafile:pos_hela_LG3.mzML:area,datafile:pos_hela_LG1.mzML:area,datafile:pos_hela_LG6.mzML:area,datafile:pos_hela_S2.mzML:area,datafile:pos_hela_HG2.mzML:area,datafile:pos_hela_LG4.mzML:area,datafile:pos_hela_HG1.mzML:area,datafile:pos_hela_HG4.mzML:area,datafile:pos_hela_HG5.mzML:area,datafile:pos_hela_HG3.mzML:area,datafile:pos_hela_S1.mzML:area,datafile:pos_hela_S3.mzML:area,datafile:pos_hela_HG6.mzML:area,datafile:pos_hela_S4.mzML:area,datafile:pos_hela_S6.mzML:area,datafile:pos_hela_S5.mzML:area
1795,2.637,398.32633,398.32649,0.40168054099023837,C23H44NO4,CCCCCCCCC=CCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(7),0.919,0.802234999999996,0.001723200982425454,0.7747280700982409,All,Some,0.0,0.0,0.0,0.0,0.0,1394.8844914529136,2804.4175818775952,0.0,2682.4293699954674,2412.4228395061727,949.1833307891925,2291.1602558441723,1040.1359980097852,947.2817133443164,1724.926301998035,1358.6903244779924,0.0,1466.5262897132593
1795,2.637,398.32633,398.32649,0.40168054099023837,C23H44NO4,CCCCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(6),0.7530000000000001,0.7248449999999877,0.0,0.6650302499999946,All,None,0.0,0.0,0.0,0.0,0.0,5953.359669403433,11179.725313874353,0.0,9884.952409729567,11701.003086419752,7640.818195695315,13006.932266895432,4813.160295215192,5756.1779242174625,8697.052079921388,5216.076855210274,0.0,9059.237009970893
1795,2.637,398.32633,398.32649,0.40168054099023837,C23H44NO4,CCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(9),0.45699999999999985,0.8181749999999965,0.0019852324168438723,0.5740272732416828,All,All,0.0,0.0,0.0,0.0,0.0,7051.755839143652,14615.857104248054,0.0,13932.618220274964,11886.574074074075,5509.998473515493,11401.907477260398,5246.7037067750225,5296.540362438221,9678.021618080576,6625.232820311734,0.0,7974.236700315849
1852,2.775,448.34207,448.34214,0.15613076208673413,C27H46NO4,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:4,"CAR 20:4(8,11,14,17)",0.6597142857142856,0.7416385714285606,0.0,0.6306087857142808,Some,Some,0.0,0.0,0.0,0.0,0.0,4560.4734683025035,0.0,0.0,0.0,6582.5675020922345,0.0,3651.8918918918916,0.0,4063.5323820817875,0.0,3528.860571201904,0.0,10166.06498194946
1852,2.775,448.34207,448.34214,0.15613076208673413,C27H46NO4,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:4,"CAR 20:4(5,8,11,14)",0.453,0.4560750000000269,0.00024727635465783695,0.40910847763547786,Some,Some,0.0,0.0,0.0,0.0,0.0,469.5265316974969,0.0,0.0,0.0,2227.432497907765,0.0,268.10810810810807,0.0,336.46761791821274,0.0,241.13942879809602,0.0,833.9350180505417
2247,3.434,426.35727,426.35779,1.219632928471941,C25H48NO4,CCCCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(9),0.9539999999999997,0.7929000000000883,0.0008237037744469913,0.7861873703774843,All,All,353.4031413612565,0.0,0.0,458.88888888888886,0.0,3719.15616059358,3220.7668625804645,0.0,3702.754928841886,3278.081427774679,2583.176943063393,3085.6772184743127,2075.294117647059,2679.513179383706,2719.230769230769,2101.1806677393142,2262.052477468123,2795.5493741307373
2247,3.434,426.35727,426.35779,1.219632928471941,C25H48NO4,CCCCCCC=CCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(11),0.6019999999999999,0.8628600000000404,0.0,0.6591870000000182,All,Some,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.06760173806822,0.0,0.0,93.34608412961715,0.0,93.68422074957995,43.53168999460065,106.46879531263872
2247,3.434,426.35727,426.35779,1.219632928471941,C25H48NO4,CCCCCCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(6),0.6519999999999997,0.4960199999999588,0.0,0.5166089999999813,All,None,7746.5968586387435,0.0,0.0,9411.111111111111,0.0,49880.843839406414,67379.23313741953,0.0,60897.24507115812,59921.91857222532,50983.755455198545,58214.32278152569,42024.70588235294,54027.140736486675,53980.769230769234,46605.1351115111,41594.41583253728,57397.98183055662
3047,4.187,454.3887,454.38909,0.8582952553691952,C27H52NO4,CCCCCCC=CCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:1,CAR 20:1(13),0.7080000000000002,0.8517999999999688,0.0,0.701909999999986,All,None,,,0.0,,,,,0.0,,,0.0,,,,,,,6570.0
3047,4.187,454.3887,454.38909,0.8582952553691952,C27H52NO4,CCCCCCCCC=CCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:1,CAR 20:1(11),0.6589999999999998,0.8267199999999661,0.0,0.6685739999999847,All,None,,,0.0,,,,,0.0,,,0.0,,,,,,,0.0
